Mutant;ALL;Jaccard
byteorder.mut.282.6_10_38.ICR.gs_bswap_32;1;1
byteorder.mut.282.6_3_42.LCR.gs_bswap_32;1;1
byteorder.mut.282.7_2_21.LCR.gs_bswap_32;1;1
byteorder.mut.282.8_1_21.LCR.gs_bswap_32;1;1
byteorder.mut.282.8_4_42.LCR.gs_bswap_32;0;0
byteorder.mut.283.1_1_14.SOD.gs_bswap_32;1;1
byteorder.mut.283.1_1_15.BOD.gs_bswap_32;1;1
byteorder.mut.283.1_12_39.ICR.gs_bswap_32;1;1
byteorder.mut.283.2_2_21.BOD.gs_bswap_32;1;1
byteorder.mut.283.2_2_35.SOD.gs_bswap_32;1;1
byteorder.mut.283.2_7_39.ICR.gs_bswap_32;1;1
byteorder.mut.283.4_8_39.ICR.gs_bswap_32;1;1
byteorder.mut.283.5_9_39.ICR.gs_bswap_32;1;1
byteorder.mut.283.6_10_39.ICR.gs_bswap_32;1;1
byteorder.mut.283.6_3_42.LCR.gs_bswap_32;1;1
byteorder.mut.283.7_2_21.LCR.gs_bswap_32;1;1
byteorder.mut.283.8_1_21.LCR.gs_bswap_32;1;1
byteorder.mut.283.8_4_42.LCR.gs_bswap_32;0;0
byteorder.mut.284.1_1_14.SOD.gs_bswap_32;1;1
byteorder.mut.284.1_1_15.BOD.gs_bswap_32;1;1
byteorder.mut.284.1_12_39.ICR.gs_bswap_32;1;1
byteorder.mut.284.1_2_15.UOI.gs_bswap_32;0;0
byteorder.mut.284.2_2_21.BOD.gs_bswap_32;1;1
byteorder.mut.284.2_7_39.ICR.gs_bswap_32;1;1
byteorder.mut.284.3_1_15.UOI.gs_bswap_32;0;0
byteorder.mut.284.3_11_39.ICR.gs_bswap_32;1;1
byteorder.mut.284.4_8_39.ICR.gs_bswap_32;1;1
byteorder.mut.284.5_9_39.ICR.gs_bswap_32;1;1
byteorder.mut.284.6_10_39.ICR.gs_bswap_32;1;1
byteorder.mut.284.7_2_21.LCR.gs_bswap_32;1;1
byteorder.mut.284.8_1_21.LCR.gs_bswap_32;1;1
byteorder.mut.29.1_1_14.SOD.util_hton32;1;1
byteorder.mut.29.1_1_15.BOD.util_hton32;1;1
byteorder.mut.29.1_12_36.ICR.util_hton32;1;1
byteorder.mut.29.2_3_40.BOD.util_hton32;1;1
byteorder.mut.29.2_7_36.ICR.util_hton32;1;1
byteorder.mut.29.4_3_15.UOI.util_hton32;0;0
byteorder.mut.29.4_8_36.ICR.util_hton32;1;1
byteorder.mut.29.5_9_36.ICR.util_hton32;1;1
byteorder.mut.29.6_3_40.LCR.util_hton32;1;1
byteorder.mut.29.7_2_19.LCR.util_hton32;1;1
byteorder.mut.29.8_1_19.LCR.util_hton32;1;1
byteorder.mut.29.8_4_40.LCR.util_hton32;0;0
byteorder.mut.294.1_1_13.BOD.gs_bswap_64;1;1
byteorder.mut.294.1_1_14.SOD.gs_bswap_64;1;1
byteorder.mut.294.1_1_5.SDL.gs_bswap_64;1;1
byteorder.mut.294.1_12_48.ICR.gs_bswap_64;1;1
byteorder.mut.294.1_2_13.BOD.gs_bswap_64;1;1
byteorder.mut.294.1_2_15.UOI.gs_bswap_64;1;1
byteorder.mut.294.1_3_13.BOD.gs_bswap_64;1;1
